locality,property_type,bathrooms,bedrooms2,floor,furnished_status,brand_new,sqft,price
Aminpur,Apartment,2,2,1,Unfurnished,Resale,1150,5300000
Aminpur,Apartment,2,2,3,Unfurnished,Resale,1150,4600000
Aminpur,Residential House,2,2,0,Unfurnished,Resale,1900,9500000
Aminpur,Apartment,3,3,1,Semi-Furnished,Resale,1530,6500000
Aminpur,Apartment,2,2,2,Unfurnished,Resale,1030,5180000
Aminpur,Apartment,2,2,0,Semi-Furnished,New Property,1000,5000000
Aminpur,Apartment,2,2,5,Unfurnished,Resale,918,4860000
Aminpur,Apartment,2,2,10,Unfurnished,Resale,825,3500000
Aminpur,Residential House,4,4,0,Semi-Furnished,Resale,1350,9000000
Aminpur,Residential House,3,2,0,Unfurnished,New Property,1150,8200000
Appa junction,Apartment,2,3,10,Unfurnished,Resale,1715,10500000
Appa junction,Apartment,3,3,19,Semi-Furnished,Resale,1628,11000000
Appa junction,Apartment,3,3,12,Semi-Furnished,Resale,2215,12000000
Appa junction,Apartment,2,3,7,Furnished,Resale,1254,7500000
Appa junction,Apartment,3,3,15,Furnished,Resale,1800,12500000
Appa junction,Apartment,2,2,5,Unfurnished,Resale,1175,6800000
Appa junction,Apartment,2,2,2,Semi-Furnished,Resale,1030,5800000
Appa junction,Apartment,3,3,11,Furnished,Resale,1420,8840000
Appa junction,Apartment,3,3,19,Unfurnished,Resale,1554,11000000
Appa junction,Apartment,2,2,1,Semi-Furnished,Resale,700,4300000
Appa junction,Apartment,2,2,2,Semi-Furnished,Resale,1310,8000000
Appa junction,Apartment,2,2,12,Semi-Furnished,Resale,1180,9000000
Appa junction,Apartment,2,2,18,Unfurnished,Resale,1400,9800000
Appa junction,Apartment,2,2,10,Unfurnished,Resale,1395,9000000
Appa junction,Apartment,3,3,9,Furnished,Resale,1788,12000000
Appa junction,Apartment,2,3,7,Semi-Furnished,Resale,1380,7900000
Appa junction,Apartment,2,2,2,Unfurnished,Resale,862,4500000
Appa junction,Residential House,3,3,1,Unfurnished,Resale,1200,8500000
Appa junction,Apartment,2,3,5,Unfurnished,Resale,1400,10000000
Appa junction,Apartment,2,2,14,Furnished,Resale,1495,8200000
Appa junction,Apartment,2,2,5,Semi-Furnished,Resale,1200,6500000
Appa junction,Apartment,3,3,1,Semi-Furnished,Resale,2600,14300000
Appa junction,Residential House,3,2,0,Unfurnished,Resale,1250,9500000
Appa junction,Apartment,3,3,17,Semi-Furnished,Resale,1524,10500000
Appa junction,Apartment,3,3,15,Semi-Furnished,Resale,1413,9000000
Appa junction,Apartment,2,2,7,Unfurnished,Resale,1350,7500000
Appa junction,Apartment,2,2,3,Unfurnished,Resale,1278,8200000
"Ashok Nagar, Himayath Nagar",Builder Floor Apartment,1,1,3,Semi-Furnished,Resale,400,2000000
"Ashok Nagar, Himayath Nagar",Apartment,3,3,3,Semi-Furnished,Resale,1300,8500000
"Ashok Nagar, Himayath Nagar",Apartment,3,3,4,Furnished,Resale,1450,9000000
"Ashok Nagar, Himayath Nagar",Apartment,2,2,5,Unfurnished,Resale,1046,6840000
"Ashok Nagar, Himayath Nagar",Builder Floor Apartment,2,2,1,Unfurnished,Resale,895,4500000
"Ashok Nagar, Himayath Nagar",Apartment,4,3,3,Semi-Furnished,New Property,2000,12000000
"Ashok Nagar, Himayath Nagar",Apartment,2,2,4,Semi-Furnished,Resale,1000,6000000
"Ashok Nagar, Himayath Nagar",Apartment,2,2,2,Semi-Furnished,Resale,850,5200000
Attapur,Apartment,3,3,2,Furnished,Resale,2000,10000000
Attapur,Apartment,3,3,2,Unfurnished,Resale,1800,9480000
Attapur,Apartment,2,2,5,Unfurnished,Resale,1337,7100000
Attapur,Apartment,2,2,5,Furnished,Resale,1390,8000000
Attapur,Apartment,3,3,3,Semi-Furnished,Resale,1340,6200000
Attapur,Apartment,2,2,5,Unfurnished,Resale,1140,5640000
Attapur,Apartment,2,2,1,Unfurnished,Resale,1283,6600000
Attapur,Apartment,2,2,3,Unfurnished,Resale,1172,6500000
Attapur,Apartment,2,3,1,Semi-Furnished,Resale,1478,7500000
Attapur,Apartment,3,3,1,Semi-Furnished,New Property,1170,7000000
Attapur,Apartment,2,2,5,Unfurnished,Resale,850,4800000
Attapur,Apartment,2,3,5,Semi-Furnished,Resale,1424,7600000
Attapur,Apartment,3,3,5,Semi-Furnished,New Property,1782,10500000
Attapur,Apartment,3,3,5,Semi-Furnished,Resale,1200,7000000
Attapur,Apartment,2,2,3,Unfurnished,Resale,1438,7400000
Attapur,Apartment,3,3,5,Semi-Furnished,Resale,1660,9600000
Attapur,Apartment,3,3,3,Furnished,Resale,1667,10000000
